Category, Activity,EMR,EMT,AEMT,Paramedic
General,Operating an ambulance in a safe manner (emergency and non-emergency),Allowed,Allowed,Allowed,Allowed
General,Stocking/Restocking an ambulance,Allowed,Allowed,Allowed,Allowed
General,Disinfecting the equipment and ambulance,Allowed,Allowed,Allowed,Allowed
General,"Disposing of contaminated equipment, including sharps and personal protective equipment",Allowed,Allowed,Allowed,Allowed
General,"Decontaminating self, equipment, material and ambulance",Allowed,Allowed,Allowed,Allowed
General,Initial Scene Management,,,,
General,Assessing the scene and determining a need for additional resources,Allowed,Allowed,Allowed,Allowed
General,Identifying a multiple-casualty incident and implementing the local incident management system,Allowed,Allowed,Allowed,Allowed
General,Recognizing and preserving a crime scene,Allowed,Allowed,Allowed,Allowed
General,Triaging patients utilizing local triage protocols,Allowed,Allowed,Allowed,Allowed
General,"Providing safety for self, each patient, other emergency personnel and bystanders",Allowed,Allowed,Allowed,Allowed
General,"Utilizing methods to reduce stress for each patient, other emergency personnel and bystanders",Allowed,Allowed,Allowed,Allowed
General,Communicating with public safety dispatchers and medical control facilities,Allowed,Allowed,Allowed,Allowed
General,Providing a verbal report to receiving personnel,Allowed,Allowed,Allowed,Allowed
General,Providing a written report to receiving personnel,Allowed,Allowed,Allowed,Allowed
General,Completing a prehospital care report,Allowed,Allowed,Allowed,Allowed
General,Setting up and providing patient and equipment decontamination,Allowed,Allowed,Allowed,Allowed
General,Using personal protective equipment,Allowed,Allowed,Allowed,Allowed
General,Practicing infection control precautions,Allowed,Allowed,Allowed,Allowed
General,Moving patients with or without a carrying device,Allowed,Allowed,Allowed,Allowed
General,"Recognize and comply with advanced directives (DNR, living will, or durable POA for health care decisions)",Allowed,Allowed,Allowed,Allowed
General,Referral of patient of alternate medical care site based on assessment,Unauthorized,Unauthorized,Allowed,Allowed
General,Patient Assessment and Stabilization,,,,
General,Obtaining consent for providing care,Allowed,Allowed,Allowed,Allowed
General,"Communicating with bystanders, other health care providers, and patient family members",Allowed,Allowed,Allowed,Allowed
General,Communicating with each patient while providing care,Allowed,Allowed,Allowed,Allowed
General,Positioning the patient based upon situational need,Allowed,Allowed,Allowed,Allowed
General,Securing the patient on transport devices,Allowed,Allowed,Allowed,Allowed
General,Cardiac Arrest Management through CPR and an AED,Allowed,Allowed,Allowed,Allowed
General,"Manual CPR for an adult, child, or infant using one or two persons",Allowed,Allowed,Allowed,Allowed
General,CPR using a mechanical device,Allowed,Allowed,Allowed,Allowed
General,Postresuscitative care to a cardiac arrest patient,Allowed,Allowed,Allowed,Allowed
